id_ip,group,group_class
74242,end-device,
74244,end-device,
74254,end-device,
74266,server,
74283,net-device,wifi router
74289,end-device,workstation
74294,end-device,wifi client
74328,end-device,
74335,end-device,workstation
74339,end-device,workstation
74341,end-device,
74345,end-device,wifi client
74346,end-device,
74356,end-device,wifi client
74360,end-device,
74371,server,cloud
74379,server,cloud
74385,server,metacentrum
74396,end-device,wifi client
74397,end-device,workstation
74416,end-device,
74426,end-device,wifi client
74436,end-device,wifi client
74453,end-device,workstation
74465,end-device,
74466,end-device,wifi client
74469,end-device,wifi client
74473,end-device,wifi client
74476,end-device,workstation
74480,end-device,wifi client
74488,end-device,workstation
74521,end-device,workstation
74550,end-device,
74551,end-device,workstation
74562,end-device,wifi client
74564,end-device,
74596,end-device,wifi client
74599,server,
74600,end-device,wifi client
74603,end-device,wifi client
74643,end-device,
74664,server,
74670,end-device,
74676,end-device,wifi client
74693,end-device,wifi client
74706,end-device,
74712,end-device,wifi client
74727,end-device,workstation
74737,end-device,wifi client
74747,end-device,workstation
74772,end-device,
74777,end-device,wifi client
74778,end-device,workstation
74780,end-device,workstation
74786,end-device,workstation
74787,end-device,workstation
74788,end-device,
74789,end-device,
74790,end-device,wifi client
74794,server,web server
74797,server,
74798,end-device,workstation
74799,end-device,
74814,end-device,
74820,end-device,
74834,end-device,workstation
74835,end-device,wifi client
74836,server,
74846,end-device,workstation
74849,end-device,wifi client
74864,end-device,wifi client
74867,end-device,wifi client
74872,end-device,
74884,net-device,wifi router
74888,end-device,
74900,end-device,wifi client
74920,end-device,printer
74921,end-device,wifi client
74925,end-device,workstation
74944,end-device,
74953,end-device,workstation
74972,end-device,wifi client
74998,server,vpn server
75000,end-device,wifi client
75028,end-device,wifi client
75034,end-device,wifi client
75035,end-device,
75045,end-device,
75049,end-device,wifi client
75055,end-device,wifi client
75057,end-device,
75081,end-device,wifi client
75093,end-device,wifi client
75097,end-device,wifi client
75101,end-device,
75110,end-device,workstation
75118,end-device,wifi client
75125,end-device,
75138,end-device,
75151,end-device,
75152,end-device,wifi client
75161,end-device,workstation
75177,end-device,wifi client
75191,end-device,workstation
75194,end-device,wifi client
75213,end-device,workstation
75222,end-device,workstation
75226,end-device,wifi client
75236,server,metacentrum
75240,end-device,wifi client
75255,end-device,workstation
75266,end-device,wifi client
75276,end-device,
75278,end-device,workstation
75283,end-device,
75287,end-device,wifi client
75321,end-device,wifi client
75324,end-device,workstation
75330,end-device,wifi client
75331,end-device,workstation
75367,end-device,workstation
75373,end-device,wifi client
75392,end-device,wifi client
75431,end-device,workstation
75441,end-device,
75452,end-device,
75460,end-device,
75482,end-device,workstation
75488,end-device,
75503,end-device,workstation
75504,end-device,wifi client
75510,end-device,wifi client
75515,end-device,wifi client
75516,end-device,workstation
75517,end-device,wifi client
75518,end-device,wifi client
75519,end-device,
75536,end-device,wifi client
75541,end-device,workstation
75557,end-device,workstation
75561,end-device,
75578,end-device,wifi client
75581,end-device,workstation
75588,end-device,workstation
75593,end-device,
75594,end-device,
75609,end-device,
75617,end-device,wifi client
75621,end-device,workstation
75625,end-device,wifi client
75626,end-device,workstation
75663,server,vpn server
75671,end-device,
75677,end-device,
75688,end-device,wifi client
75689,end-device,wifi client
75699,end-device,wifi client
75707,end-device,
75717,end-device,wifi client
75722,end-device,wifi client
75730,end-device,
75737,end-device,wifi client
75739,end-device,wifi client
75756,end-device,wifi client
75770,end-device,
75772,end-device,
75783,end-device,wifi client
75789,end-device,
75797,end-device,wifi client
75799,end-device,wifi client
75804,end-device,wifi client
75807,end-device,wifi client
75808,end-device,wifi client
75816,end-device,workstation
75830,end-device,workstation
75835,server,metacentrum
75841,end-device,wifi client
75860,end-device,wifi client
75886,server,dns server
75891,server,proxy server
75912,end-device,
75919,end-device,workstation
75920,end-device,
75945,end-device,workstation
75958,end-device,
75977,end-device,
75978,end-device,
75981,end-device,workstation
75987,net-device,core router
75996,end-device,wifi client
76001,end-device,
76009,end-device,wifi client
76024,end-device,
76033,end-device,
76037,end-device,
76038,end-device,
76047,end-device,wifi client
76062,end-device,wifi client
76064,end-device,wifi client
76082,end-device,wifi client
76087,end-device,
76088,end-device,workstation
76111,end-device,wifi client
76123,end-device,wifi client
76132,end-device,wifi client
76136,end-device,workstation
76148,end-device,workstation
76167,end-device,wifi client
76173,end-device,wifi client
76177,end-device,wifi client
76192,end-device,workstation
76194,end-device,wifi client
76199,end-device,
76200,end-device,wifi client
76212,server,vpn server
76218,end-device,wifi client
76228,end-device,
76230,end-device,workstation
76239,end-device,
76241,end-device,workstation
76248,end-device,workstation
76264,end-device,wifi client
76284,end-device,wifi client
76306,end-device,workstation
76307,server,
76311,end-device,
76313,end-device,workstation
76329,server,vpn server
76336,end-device,
76356,end-device,ip camera
76358,end-device,wifi client
76367,end-device,wifi client
76392,net-device,core router
76398,end-device,wifi client
76400,end-device,workstation
76417,server,
76418,server,vpn server
76437,end-device,
76438,server,
76448,end-device,wifi client
76453,server,web server
76455,end-device,wifi client
76456,end-device,
76483,end-device,workstation
76486,server,
76490,end-device,workstation
76492,end-device,
76501,server,
76502,server,
76508,end-device,workstation
76510,end-device,workstation
76515,end-device,
76519,end-device,wifi client
76527,end-device,workstation
76528,end-device,workstation
76553,server,vpn server
76555,end-device,
76559,net-device,core router
76573,end-device,
76582,end-device,wifi client
76586,server,mail server
76587,end-device,workstation
76602,end-device,wifi client
76604,end-device,
76607,end-device,workstation
76615,end-device,workstation
76619,end-device,wifi client
76638,end-device,wifi client
76654,end-device,
76661,end-device,workstation
76665,end-device,
76675,end-device,
76686,end-device,workstation
76698,end-device,
76705,end-device,wifi client
76715,end-device,wifi client
76731,end-device,
76734,server,web server
76736,end-device,wifi client
76739,end-device,workstation
76740,server,
76779,server,metacentrum
76796,end-device,
76798,end-device,
76801,end-device,wifi client
76803,end-device,
76806,end-device,wifi client
76808,end-device,workstation
76827,end-device,workstation
76830,end-device,wifi client
76831,end-device,wifi client
76840,server,web server
76842,end-device,workstation
76887,end-device,
76888,end-device,wifi client
76891,end-device,wifi client
76897,end-device,
76921,end-device,wifi client
76936,end-device,workstation
76945,end-device,wifi client
76947,end-device,wifi client
76963,end-device,workstation
76985,server,cloud
76994,end-device,
76997,server,
77000,end-device,
77007,end-device,wifi client
77013,end-device,wifi client
77016,end-device,wifi client
77042,end-device,
77046,end-device,
77053,server,metacentrum
77055,end-device,
77067,end-device,
77071,end-device,
77072,end-device,
77092,end-device,workstation
77113,server,cloud
77116,end-device,wifi client
77137,end-device,workstation
77140,end-device,wifi client
77158,end-device,
77167,end-device,wifi client
77196,end-device,wifi client
77213,server,cloud
77221,end-device,wifi client
77227,end-device,
77232,end-device,wifi client
77239,end-device,workstation
77254,end-device,workstation
77291,server,web server
77336,end-device,workstation
77363,end-device,wifi client
77394,end-device,workstation
77404,end-device,wifi client
77413,end-device,wifi client
77441,end-device,workstation
77443,end-device,workstation
77444,end-device,workstation
77445,end-device,wifi client
77451,end-device,wifi client
77455,end-device,
77457,end-device,
77468,end-device,workstation
77483,end-device,wifi client
77484,end-device,
77486,end-device,
77492,end-device,wifi client
77498,end-device,workstation
77511,end-device,workstation
77532,end-device,workstation
77549,end-device,
77557,end-device,workstation
77558,end-device,wifi client
77561,end-device,wifi client
77585,end-device,
77589,end-device,
77593,end-device,
77625,server,metacentrum
77657,end-device,wifi client
77658,end-device,workstation
77661,end-device,
77680,end-device,wifi client
77687,end-device,workstation
77711,end-device,workstation
77715,end-device,wifi client
77719,end-device,
77723,net-device,core router
77730,end-device,
77744,server,development server
77762,end-device,
77767,end-device,
77769,end-device,wifi client
77778,end-device,wifi client
77783,end-device,
77793,end-device,
77795,end-device,wifi client
77810,end-device,workstation
77813,net-device,core router
77827,end-device,wifi client
77838,end-device,wifi client
77840,end-device,
77842,end-device,wifi client
77865,end-device,
77877,end-device,
77890,end-device,workstation
77896,net-device,core router
77902,end-device,wifi client
77920,end-device,wifi client
77922,end-device,workstation
77931,end-device,
77933,server,vpn server
77951,end-device,
77954,end-device,workstation
77961,end-device,workstation
77979,end-device,
77981,end-device,
77998,end-device,
78003,server,
78010,server,
78026,end-device,wifi client
78027,server,
78028,end-device,wifi client
78030,end-device,
78033,end-device,
78050,server,web server
78053,end-device,wifi client
78063,server,
78071,server,
78076,end-device,workstation
78081,server,web server
78084,server,cloud
78087,server,
78089,end-device,wifi client
78105,server,
78122,server,web server
78138,end-device,wifi client
78147,end-device,wifi client
78151,end-device,workstation
78153,end-device,
78168,end-device,wifi client
78175,end-device,workstation
78187,end-device,wifi client
78219,server,
78224,end-device,wifi client
78232,end-device,wifi client
78241,end-device,workstation
78244,end-device,wifi client
78246,end-device,voip
78265,end-device,workstation
78267,end-device,wifi client
78301,end-device,wifi client
78316,end-device,
78329,net-device,wifi router
78333,end-device,workstation
78344,end-device,wifi client
78357,end-device,
78380,end-device,wifi client
78384,end-device,
78385,end-device,wifi client
78390,end-device,workstation
78391,end-device,workstation
78419,end-device,workstation
78420,end-device,workstation
78438,end-device,wifi client
78441,server,git server
78446,end-device,workstation
78451,end-device,
78460,end-device,workstation
78461,end-device,workstation
78471,server,bot
78482,end-device,wifi client
78485,end-device,workstation
78526,end-device,workstation
78528,end-device,workstation
78529,server,web server
78534,server,
78543,end-device,workstation
78550,end-device,wifi client
78560,end-device,wifi client
78561,end-device,wifi client
78564,end-device,wifi client
78577,end-device,workstation
78584,end-device,wifi client
78596,end-device,workstation
78602,end-device,wifi client
78606,end-device,wifi client
78607,end-device,
78624,end-device,wifi client
78629,end-device,wifi client
78640,end-device,wifi client
78646,end-device,wifi client
78674,end-device,wifi client
78680,server,metacentrum
78684,end-device,workstation
78713,end-device,wifi client
78719,end-device,wifi client
78726,end-device,wifi client
78732,end-device,workstation
78736,end-device,workstation
78751,end-device,wifi client
78754,end-device,workstation
78755,end-device,wifi client
78763,end-device,wifi client
78781,end-device,wifi client
78782,end-device,wifi client
78793,end-device,wifi client
78794,end-device,workstation
78805,end-device,
78813,end-device,wifi client
78825,end-device,
78843,end-device,
78873,end-device,
78879,end-device,wifi client
78887,server,metacentrum
78899,end-device,wifi client
78910,end-device,wifi client
78928,end-device,wifi client
78934,end-device,wifi client
78948,end-device,wifi client
78953,end-device,
78958,server,metacentrum
78974,end-device,workstation
78978,end-device,
78982,end-device,
78992,end-device,workstation
79003,net-device,wifi router
79029,end-device,workstation
79031,end-device,wifi client
79037,end-device,workstation
79040,end-device,
79042,server,
79049,end-device,
79053,end-device,workstation
79059,end-device,workstation
79060,end-device,wifi client
79065,end-device,
79067,end-device,wifi client
79089,end-device,workstation
79115,end-device,wifi client
79120,end-device,
79121,end-device,wifi client
79133,end-device,
79134,end-device,wifi client
79136,net-device,wifi router
79153,end-device,wifi client
79158,end-device,workstation
79164,server,
79167,end-device,wifi client
79210,end-device,
79211,end-device,workstation
79228,end-device,workstation
79236,end-device,
79243,end-device,voip
79245,end-device,workstation
79266,end-device,workstation
79271,end-device,
79273,end-device,workstation
79277,end-device,workstation
79280,end-device,
79311,end-device,wifi client
79314,end-device,wifi client
79324,end-device,wifi client
79334,end-device,wifi client
79343,end-device,
79348,server,cloud
79352,end-device,wifi client
79364,end-device,wifi client
79374,end-device,wifi client
79381,server,metacentrum
79409,end-device,workstation
79419,end-device,wifi client
79440,end-device,
79445,end-device,workstation
79470,net-device,core router
79481,end-device,workstation
79484,net-device,core router
79521,end-device,workstation
79525,end-device,wifi client
79537,end-device,wifi client
79541,end-device,
79593,end-device,wifi client
79603,end-device,voip
79606,end-device,
79607,end-device,wifi client
79611,end-device,wifi client
79622,end-device,
79627,end-device,wifi client
79631,end-device,
79638,end-device,workstation
79653,end-device,
79657,end-device,wifi client
79667,end-device,
79678,end-device,wifi client
79679,end-device,workstation
79694,end-device,wifi client
79697,server,
79725,net-device,wifi router
79734,end-device,workstation
79736,end-device,wifi client
79738,end-device,
79742,server,
79744,end-device,
79762,server,
79763,server,web server
79764,server,web server
79767,end-device,workstation
79783,net-device,core router
79794,server,web server
79804,end-device,workstation
79810,end-device,
79814,end-device,wifi
79816,end-device,wifi client
79819,end-device,workstation
79820,end-device,
79824,end-device,wifi client
79827,end-device,workstation
79828,end-device,
79835,end-device,wifi client
79841,end-device,
79844,end-device,wifi client
79845,end-device,wifi client
79853,server,vpn server
79855,end-device,wifi client
79894,server,vpn server
79905,server,cloud
79906,end-device,wifi client
79934,end-device,wifi client
79939,end-device,
79942,end-device,wifi client
79943,end-device,wifi client
79956,end-device,workstation
79961,end-device,workstation
79963,server,
79970,end-device,wifi client
79978,end-device,wifi client
79986,end-device,
79989,end-device,
79991,end-device,wifi client
80019,end-device,workstation
80022,end-device,wifi client
80029,end-device,
80047,net-device,core router
80052,end-device,wifi client
80056,server,
80061,end-device,wifi client
80066,net-device,wifi router
80075,end-device,workstation
80083,end-device,wifi client
80088,end-device,wifi client
80097,end-device,wifi client
80106,end-device,
80129,end-device,wifi client
80139,end-device,wifi client
80140,end-device,wifi client
80145,end-device,wifi client
80166,end-device,wifi client
80178,end-device,
80227,server,cloud
80236,end-device,
80259,end-device,workstation
80262,server,metacentrum
80273,end-device,wifi client
80293,server,web server
80313,end-device,wifi client
80314,server,vpn server
80336,server,web server
80349,end-device,wifi client
80350,end-device,wifi client
80364,server,vpn server
80395,end-device,
80399,end-device,wifi client
80407,end-device,workstation
80413,end-device,
80420,server,mail server
80424,server,vpn server
80447,end-device,workstation
80460,end-device,workstation
80465,end-device,
80489,end-device,
80492,end-device,wifi client
80497,end-device,
80507,end-device,
80510,end-device,
80516,end-device,wifi client
80536,server,metacentrum
80545,end-device,workstation
80546,end-device,workstation
80554,end-device,wifi client
80556,end-device,wifi client
80599,end-device,wifi client
80609,server,vpn server
80613,end-device,workstation
80616,net-device,core router
80624,end-device,workstation
80635,end-device,
80651,end-device,workstation
80658,end-device,wifi client
80676,end-device,wifi client
80683,server,bot
80690,end-device,wifi client
80697,end-device,wifi client
80700,end-device,
80703,end-device,workstation
80721,end-device,workstation
80723,end-device,workstation
80725,end-device,
80732,end-device,workstation
80734,server,web server
80738,end-device,wifi client
80790,end-device,wifi client
80794,end-device,
80816,end-device,wifi client
80826,end-device,
80842,end-device,wifi client
80843,end-device,workstation
80850,server,vpn server
80854,end-device,workstation
80855,end-device,wifi client
80876,server,vpn server
80884,end-device,wifi client
80899,end-device,wifi client
80900,end-device,
80913,end-device,wifi client
80915,end-device,workstation
80962,end-device,workstation
80989,end-device,workstation
80991,end-device,
81012,end-device,
81016,end-device,wifi client
81022,end-device,wifi client
81033,end-device,workstation
81065,end-device,workstation
81068,end-device,workstation
81088,end-device,workstation
81094,end-device,
81102,end-device,
81112,end-device,
81113,end-device,wifi client
81115,end-device,
81124,end-device,wifi client
81168,end-device,wifi client
81170,end-device,
81191,end-device,workstation
81192,end-device,
81199,server,web server
81200,end-device,wifi client
81211,end-device,wifi client
81216,end-device,wifi client
81222,server,web server
81225,end-device,wifi client
81226,end-device,wifi client
81232,server,cloud
81245,end-device,workstation
81246,end-device,wifi client
81251,end-device,
81257,end-device,wifi client
81261,end-device,workstation
81270,end-device,
81276,end-device,wifi client
81280,end-device,workstation
81282,end-device,
81291,end-device,wifi client
81298,end-device,wifi client
81305,end-device,
81313,end-device,workstation
81320,server,web server
81322,end-device,
81332,end-device,workstation
81336,end-device,wifi client
81348,end-device,workstation
81350,server,cloud
81355,end-device,wifi client
81360,end-device,workstation
81366,end-device,wifi client
81367,end-device,wifi client
81376,end-device,wifi client
81404,end-device,
81406,server,
81426,end-device,wifi client
81434,end-device,wifi client
81443,end-device,wifi client
81465,end-device,
81467,end-device,wifi client
81477,end-device,wifi client
81483,end-device,wifi client
81521,end-device,wifi client
81533,server,vpn server
81538,end-device,
81541,end-device,wifi client
81547,end-device,workstation
81555,end-device,wifi client
81565,end-device,
81567,end-device,workstation
81571,end-device,
81575,end-device,wifi client
81607,end-device,wifi client
81612,end-device,workstation
81616,end-device,workstation
81636,end-device,wifi client
81647,server,proxy server
81672,end-device,
81673,end-device,wifi client
81681,end-device,workstation
81683,end-device,
81686,end-device,wifi client
81693,end-device,wifi client
81712,end-device,wifi client
81727,end-device,
81734,end-device,wifi client
81749,end-device,
81753,end-device,wifi client
81762,end-device,workstation
81769,end-device,workstation
81771,end-device,wifi client
81788,end-device,wifi client
81793,end-device,wifi client
81797,end-device,
81802,end-device,wifi client
81809,end-device,wifi client
81815,server,mail server
81816,end-device,wifi client
81819,end-device,
81820,end-device,wifi client
81841,server,web server
81847,end-device,workstation
81852,end-device,
81863,end-device,workstation
81881,end-device,workstation
81883,end-device,workstation
81899,end-device,wifi client
81907,end-device,wifi client
81911,end-device,workstation
81915,end-device,wifi client
81916,net-device,wifi router
81923,server,vpn server
81942,end-device,workstation
81989,end-device,wifi client
82009,end-device,wifi client
82014,end-device,workstation
82063,end-device,wifi client
82070,end-device,wifi client
82096,end-device,wifi client
82112,end-device,wifi client
82115,net-device,wifi router
82130,end-device,wifi client
82141,end-device,workstation
82142,end-device,workstation
82143,end-device,
82159,end-device,wifi client
82163,end-device,
82168,end-device,workstation
82189,end-device,workstation
82196,end-device,workstation
82197,end-device,wifi client
82200,end-device,workstation
82211,end-device,wifi client
82231,end-device,workstation
82241,end-device,wifi client
82247,end-device,wifi client
82252,end-device,voip
82267,end-device,
82274,end-device,wifi client
82281,end-device,
82291,end-device,
82297,end-device,workstation
82298,end-device,wifi client
82306,end-device,workstation
82310,end-device,workstation
82324,end-device,wifi client
82343,net-device,wifi router
82359,end-device,workstation
82360,end-device,wifi client
82367,end-device,wifi client
82395,end-device,wifi client
82400,end-device,workstation
82405,end-device,
82410,end-device,
82430,end-device,workstation
82432,end-device,workstation
82438,end-device,
82442,server,
82469,end-device,wifi client
82478,end-device,
82481,end-device,voip
82485,server,vpn server
82489,end-device,wifi client
82499,end-device,wifi client
82503,end-device,workstation
82519,end-device,workstation
82526,end-device,workstation
82533,end-device,
82546,end-device,
82552,end-device,workstation
82553,end-device,wifi client
82565,end-device,workstation
82576,end-device,wifi client
82582,end-device,workstation
82600,server,
82605,net-device,core router
82610,end-device,wifi client
82619,server,web server
82622,end-device,wifi client
82628,end-device,
82637,end-device,wifi client
82652,server,web server
82655,end-device,
82669,end-device,workstation
82685,end-device,wifi client
82687,end-device,
82688,end-device,wifi client
82689,server,web server
82699,end-device,workstation
82706,end-device,workstation
82707,end-device,
82709,end-device,workstation
82718,end-device,wifi client
82724,server,
82740,end-device,wifi client
82752,end-device,
82765,end-device,wifi
82766,end-device,wifi client
82769,end-device,wifi client
82770,end-device,
82772,end-device,wifi client
82793,server,vpn server
82801,end-device,
82809,end-device,wifi client
82811,end-device,wifi client
82817,end-device,wifi client
82824,end-device,workstation
82837,end-device,workstation
82839,end-device,
82848,end-device,printer
82859,end-device,workstation
82881,end-device,workstation
82899,end-device,wifi client
82901,end-device,wifi client
82923,end-device,
82924,net-device,core router
82929,end-device,workstation
82937,end-device,workstation
82938,end-device,wifi client
82970,net-device,core router
83004,end-device,workstation
83017,end-device,wifi client
83023,end-device,workstation
83030,end-device,workstation
83035,end-device,
83039,end-device,workstation
83055,end-device,wifi client
83071,end-device,wifi client
83075,end-device,workstation
83081,server,vpn server
83088,server,vpn server
83093,end-device,workstation
83094,end-device,wifi client
83106,end-device,wifi client
83123,end-device,workstation
83125,end-device,
83131,end-device,
83162,end-device,wifi client
83173,end-device,
83175,server,vpn server
83178,end-device,wifi client
83179,end-device,workstation
83181,end-device,workstation
83183,end-device,wifi client
83191,end-device,
83193,end-device,workstation
83195,end-device,workstation
83197,end-device,wifi client
83207,end-device,workstation
83213,end-device,wifi client
83215,end-device,wifi client
83223,end-device,wifi client
83231,end-device,wifi client
83244,end-device,wifi
83270,net-device,wifi router
83285,end-device,workstation
83286,end-device,wifi client
83289,end-device,wifi client
83299,end-device,
83300,end-device,wifi client
83301,end-device,workstation
83304,net-device,wifi router
83315,server,vpn server
83319,end-device,workstation
83320,end-device,workstation
83340,net-device,core router
83357,end-device,
83368,end-device,workstation
83385,end-device,wifi client
83389,end-device,workstation
83397,end-device,
83410,end-device,
83418,end-device,workstation
83422,server,vpn server
83429,end-device,wifi client
83432,end-device,workstation
83434,server,vpn server
83462,end-device,workstation
83464,end-device,
83477,end-device,wifi client
83492,end-device,workstation
83495,end-device,wifi client
83525,end-device,voip
83528,end-device,
83535,end-device,wifi client
83555,end-device,wifi client
83561,end-device,workstation
83563,server,proxy server
83569,end-device,wifi client
83571,end-device,wifi client
83576,end-device,wifi client
83583,end-device,workstation
83585,end-device,workstation
83586,end-device,wifi client
83619,net-device,core router
83625,end-device,wifi client
83631,end-device,workstation
83651,end-device,voip
83666,end-device,workstation
83678,end-device,workstation
83694,end-device,wifi client
83700,end-device,
83715,end-device,wifi client
83717,end-device,
83728,net-device,wifi router
83736,end-device,wifi client
83737,end-device,wifi client
83747,end-device,workstation
83753,server,metacentrum
83754,end-device,workstation
83764,end-device,wifi client
83769,end-device,wifi client
83777,end-device,wifi client
83779,end-device,
83827,server,
83828,end-device,wifi client
83831,end-device,wifi client
83839,end-device,
83844,end-device,wifi
83852,server,cloud
83861,end-device,wifi client
83865,end-device,wifi client
83880,end-device,
83893,end-device,wifi client
83896,end-device,
83901,end-device,workstation
83924,end-device,wifi client
83942,end-device,wifi client
83952,end-device,wifi client
83966,server,nas server
83977,end-device,
83982,end-device,workstation
83983,server,web server
83986,end-device,wifi client
84011,end-device,workstation
84030,end-device,workstation
84036,end-device,workstation
84060,server,web server
84065,end-device,wifi client
84069,end-device,
84078,end-device,wifi client
84084,end-device,workstation
84096,end-device,wifi
84115,end-device,
84116,server,
84119,server,
84125,server,dns server
84141,end-device,wifi client
84142,end-device,workstation
84160,end-device,
84161,server,
84168,end-device,wifi client
84169,end-device,wifi client
84181,end-device,wifi client
84189,server,vpn server
84218,end-device,wifi client
84220,end-device,wifi client
84222,end-device,wifi client
84226,end-device,workstation
84233,end-device,workstation
84238,end-device,wifi client
84246,end-device,
84247,net-device,core router
84248,end-device,wifi client
84286,end-device,workstation
84297,server,metacentrum
84298,end-device,wifi client
84312,end-device,wifi client
84324,end-device,
84326,end-device,
84328,end-device,wifi client
84331,end-device,wifi client
84332,end-device,
84358,end-device,workstation
84359,end-device,wifi client
84390,end-device,wifi client
84400,end-device,workstation
84405,net-device,core router
84412,end-device,wifi client
84415,end-device,wifi client
84416,end-device,wifi client
84440,end-device,workstation
84455,end-device,workstation
84461,end-device,wifi client
84463,server,
84479,end-device,workstation
84481,end-device,wifi client
84484,end-device,
84493,end-device,workstation
84496,end-device,wifi client
84498,end-device,wifi client
84499,end-device,
84507,end-device,workstation
84516,end-device,
84526,end-device,wifi client
84536,end-device,
84557,end-device,workstation
84568,end-device,wifi client
84572,end-device,wifi client
84580,end-device,
84582,end-device,wifi client
84593,end-device,wifi client
84594,net-device,wifi router
84607,end-device,
84609,end-device,workstation
84610,end-device,
84612,end-device,wifi client
84614,end-device,wifi client
84681,end-device,workstation
84687,end-device,
84690,end-device,
84693,end-device,workstation
84711,end-device,
84728,end-device,workstation
84745,end-device,workstation
84749,end-device,
84771,end-device,wifi client
84774,end-device,workstation
84783,end-device,workstation
84802,end-device,wifi client
84804,server,vpn server
84813,end-device,wifi client
84823,end-device,workstation
84836,server,vpn server
84838,end-device,wifi client
84847,server,multipurpose server
84864,end-device,wifi client
84868,end-device,wifi client
84869,end-device,wifi client
84889,end-device,wifi client
84898,end-device,wifi client
84915,end-device,workstation
84918,end-device,workstation
84921,end-device,
84925,end-device,wifi client
84943,net-device,wifi router
84966,end-device,wifi client
84970,end-device,workstation
84976,end-device,wifi client
84977,end-device,
84978,end-device,
84986,end-device,workstation
84998,end-device,
85013,end-device,workstation
85018,end-device,workstation
85023,server,metacentrum
85041,end-device,workstation
85055,end-device,workstation
85080,end-device,
85081,end-device,workstation
85085,end-device,voip
85109,end-device,workstation
85122,end-device,
85129,server,
85135,end-device,workstation
85137,end-device,wifi client
85142,end-device,wifi client
85147,end-device,wifi client
85149,end-device,
85151,end-device,
85168,end-device,workstation
85171,end-device,wifi client
85178,end-device,workstation
85179,end-device,wifi client
85186,end-device,
85194,end-device,
85208,end-device,wifi client
85210,end-device,wifi client
85217,end-device,workstation
85222,end-device,wifi client
85226,server,vpn server
85246,end-device,wifi client
85250,end-device,workstation
85256,end-device,workstation
85261,net-device,core router
85263,end-device,wifi client
85265,end-device,wifi client
85299,end-device,wifi client
85300,end-device,workstation
85314,end-device,workstation
85321,end-device,workstation
85323,end-device,wifi client
85335,end-device,
85338,end-device,wifi client
85339,end-device,
85347,end-device,
85350,end-device,workstation
85357,end-device,
85368,server,bot
85406,server,
85407,server,cloud
85408,end-device,wifi client
85409,end-device,wifi client
85423,server,
85435,end-device,wifi client
85463,end-device,wifi client
85464,end-device,
85467,server,vpn server
85485,end-device,wifi client
85487,end-device,workstation
85489,end-device,
85503,end-device,wifi client
85510,end-device,workstation
85519,end-device,
85530,end-device,wifi client
85531,end-device,wifi client
85532,server,
85533,end-device,wifi client
85551,end-device,wifi client
85554,server,mail server
85563,server,
85572,server,cloud
85583,server,vpn server
85584,end-device,wifi client
85585,end-device,
85595,server,web server
85605,end-device,wifi client
85612,server,web server
85613,end-device,
85616,end-device,wifi client
85619,server,web server
85625,end-device,workstation
85628,end-device,wifi client
85637,end-device,wifi client
85644,end-device,
85656,end-device,workstation
85674,server,metacentrum
85676,end-device,workstation
85717,end-device,workstation
85740,end-device,wifi client
85760,server,
85767,end-device,
85769,end-device,workstation
85772,end-device,wifi client
85776,end-device,workstation
85793,end-device,wifi client
85797,end-device,workstation
85803,end-device,wifi client
85807,end-device,workstation
85814,end-device,wifi client
85829,end-device,wifi client
85844,end-device,workstation
85849,end-device,
85859,end-device,
85879,server,vpn server
85891,end-device,wifi client
85895,server,vpn server
85897,end-device,wifi client
85901,end-device,
85926,end-device,wifi client
85938,end-device,wifi client
85942,end-device,
85945,server,
85948,end-device,wifi client
85950,end-device,wifi client
85966,end-device,
85968,end-device,workstation
85975,end-device,workstation
85986,end-device,wifi client
85994,server,cloud
85995,end-device,
85997,end-device,wifi client
86003,end-device,
86004,end-device,
86012,end-device,workstation
86045,end-device,workstation
86065,end-device,workstation
86075,end-device,workstation
86091,end-device,wifi client
86096,end-device,wifi client
86099,server,cloud
86103,server,metacentrum
86108,end-device,wifi client
86126,end-device,workstation
86142,server,metacentrum
86157,server,metacentrum
86190,end-device,wifi client
86191,end-device,wifi client
86218,end-device,wifi client
86219,server,cloud
86221,end-device,wifi client
86222,end-device,workstation
86235,end-device,wifi client
86242,end-device,wifi client
86251,end-device,wifi client
86254,end-device,workstation
86258,end-device,workstation
86260,end-device,wifi client
86262,end-device,workstation
86267,end-device,workstation
86273,end-device,wifi client
86278,end-device,
86285,server,bot
86293,end-device,
86297,end-device,wifi client
86300,server,vpn server
86314,end-device,workstation
86315,end-device,wifi client
86319,end-device,
86333,end-device,wifi client
86338,end-device,wifi client
86344,end-device,
86350,end-device,workstation
86381,end-device,workstation
86390,end-device,
86400,end-device,
86406,end-device,
86412,end-device,
86428,end-device,
86445,end-device,wifi client
86458,end-device,wifi client
86485,end-device,wifi client
86491,end-device,workstation
86499,end-device,
86503,end-device,
86506,end-device,workstation
86510,end-device,
86528,end-device,
86529,end-device,
86545,end-device,workstation
86547,end-device,
86558,server,cloud
86562,server,metacentrum
86573,end-device,wifi client
86574,end-device,wifi client
86581,end-device,workstation
86582,end-device,
86589,end-device,wifi client
86594,end-device,wifi client
86609,end-device,workstation
86612,end-device,workstation
86617,end-device,wifi client
86618,net-device,core router
86623,end-device,wifi client
86628,end-device,wifi client
86644,end-device,wifi client
86648,end-device,wifi client
86652,end-device,
86660,end-device,
86680,end-device,wifi client
86684,end-device,wifi client
86708,end-device,workstation
